objectives,normalizedObjectives,gridIndex
"[39678278.0, 3377176.15, 212.0, 109748.0, 367.0, 154.0]","[0.6098929459739734, 0.3235257642977889, 0.5, 0.4909619109102647, 0.5833333333333334, 0.6190476190476191]","[30, 16, 25, 24, 29, 30]"
"[39701521.0, 2927774.6, 213.0, 109782.0, 368.0, 155.0]","[0.6107559351623818, 0.2335976852216083, 0.6666666666666666, 0.5019367333763719, 0.625, 0.6666666666666666]","[30, 11, 33, 25, 31, 33]"
"[39718047.0, 2689961.7, 214.0, 110957.0, 363.0, 149.0]","[0.6113695289036217, 0.1860098269319877, 0.8333333333333334, 0.881213686249193, 0.4166666666666667, 0.38095238095238093]","[30, 9, 41, 44, 20, 19]"
"[39780866.0, 2930070.47, 212.0, 109333.0, 367.0, 155.0]","[0.6137019351259954, 0.23405710326079537, 0.5, 0.3570045190445449, 0.5833333333333334, 0.6666666666666666]","[30, 11, 25, 17, 29, 33]"
"[39839595.0, 2871412.73, 212.0, 109943.0, 368.0, 156.0]","[0.615882483766276, 0.22231932024435927, 0.5, 0.55390574564235, 0.625, 0.7142857142857143]","[30, 11, 25, 27, 31, 35]"
"[39858958.0, 2477388.49, 214.0, 110774.0, 367.0, 152.0]","[0.6166014124611584, 0.14347258949175737, 0.8333333333333334, 0.8221433182698515, 0.5833333333333334, 0.5238095238095238]","[30, 7, 41, 41, 29, 26]"
"[40118330.0, 2533790.95, 214.0, 110714.0, 367.0, 153.0]","[0.6262316336794127, 0.15475907678351483, 0.8333333333333334, 0.802775984506133, 0.5833333333333334, 0.5714285714285714]","[31, 7, 41, 40, 29, 28]"
"[40136151.0, 2730931.31, 214.0, 110782.0, 362.0, 148.0]","[0.6268933094668165, 0.194208103791069, 0.8333333333333334, 0.8247256294383474, 0.375, 0.3333333333333333]","[31, 9, 41, 41, 18, 16]"
"[40140682.0, 3396794.12, 212.0, 110225.0, 365.0, 153.0]","[0.6270615409349006, 0.32745144358722206, 0.5, 0.644932214331827, 0.5, 0.5714285714285714]","[31, 16, 25, 32, 25, 28]"
"[40155826.0, 3396794.12, 212.0, 110218.0, 365.0, 153.0]","[0.6276238224075702, 0.32745144358722206, 0.5, 0.6426726920593931, 0.5, 0.5714285714285714]","[31, 16, 25, 32, 25, 28]"
"[40208658.0, 3788836.83, 213.0, 111054.0, 360.0, 147.0]","[0.6295854213750871, 0.4059016577133642, 0.6666666666666666, 0.9125242091672047, 0.2916666666666667, 0.2857142857142857]","[31, 20, 33, 45, 14, 14]"
"[40227594.0, 3390871.02, 212.0, 110184.0, 365.0, 153.0]","[0.6302884959898831, 0.3262661939921191, 0.5, 0.631697869593286, 0.5, 0.5714285714285714]","[31, 16, 25, 31, 25, 28]"
"[40268723.0, 2268584.53, 214.0, 110828.0, 369.0, 155.0]","[0.6318155743502519, 0.1016896027034392, 0.8333333333333334, 0.8395739186571982, 0.6666666666666666, 0.6666666666666666]","[31, 5, 41, 41, 33, 33]"
"[40270299.0, 3582282.05, 213.0, 111091.0, 363.0, 150.0]","[0.6318740896434986, 0.36456874600132594, 0.6666666666666666, 0.9244673983214977, 0.4166666666666667, 0.42857142857142855]","[31, 18, 33, 46, 20, 21]"
"[40275318.0, 2967695.13, 212.0, 109078.0, 366.0, 155.0]","[0.632060440060253, 0.2415860345688747, 0.5, 0.2746933505487411, 0.5416666666666666, 0.6666666666666666]","[31, 12, 25, 13, 27, 33]"
"[40294787.0, 3400676.56, 212.0, 110176.0, 365.0, 153.0]","[0.6327833044284121, 0.32822834427064984, 0.5, 0.6291155584247902, 0.5, 0.5714285714285714]","[31, 16, 25, 31, 25, 28]"
"[40318383.0, 3586168.25, 213.0, 111091.0, 363.0, 150.0]","[0.6336594001514121, 0.3653463990844225, 0.6666666666666666, 0.9244673983214977, 0.4166666666666667, 0.42857142857142855]","[31, 18, 33, 46, 20, 21]"
"[40334961.0, 3163092.16, 211.0, 109315.0, 367.0, 156.0]","[0.6342749246002971, 0.2806862102694055, 0.3333333333333333, 0.3511943189154293, 0.5833333333333334, 0.7142857142857143]","[31, 14, 16, 17, 29, 35]"
"[40376424.0, 3056786.87, 213.0, 110444.0, 365.0, 151.0]","[0.6358144040443869, 0.2594138525631708, 0.6666666666666666, 0.7156229825693996, 0.5, 0.47619047619047616]","[31, 12, 33, 35, 25, 23]"
"[40417427.0, 2608160.35, 213.0, 110272.0, 366.0, 152.0]","[0.6373368041516155, 0.16964086186869778, 0.6666666666666666, 0.6601032924467398, 0.5416666666666666, 0.5238095238095238]","[31, 8, 33, 33, 27, 26]"
"[40560770.0, 2595664.82, 214.0, 110758.0, 366.0, 152.0]","[0.6426589854205582, 0.1671404276580485, 0.8333333333333334, 0.8169786959328599, 0.5416666666666666, 0.5238095238095238]","[32, 8, 41, 40, 27, 26]"
"[40581790.0, 3400676.56, 212.0, 110099.0, 365.0, 153.0]","[0.6434394368571347, 0.32822834427064984, 0.5, 0.6042608134280181, 0.5, 0.5714285714285714]","[32, 16, 25, 30, 25, 28]"
"[40591376.0, 2969967.38, 212.0, 110175.0, 366.0, 154.0]","[0.6437953553857275, 0.24204072609737712, 0.5, 0.6287927695287282, 0.5416666666666666, 0.6190476190476191]","[32, 12, 25, 31, 27, 30]"
"[40683438.0, 3521672.93, 211.0, 109554.0, 367.0, 156.0]","[0.6472135247555706, 0.3524404795632202, 0.3333333333333333, 0.42834086507424146, 0.5833333333333334, 0.7142857142857143]","[32, 17, 16, 21, 29, 35]"
"[40684245.0, 3401617.3, 212.0, 109964.0, 365.0, 153.0]","[0.6472434878530643, 0.32841659226647923, 0.5, 0.5606843124596513, 0.5, 0.5714285714285714]","[32, 16, 25, 28, 25, 28]"
"[40779465.0, 3342101.17, 214.0, 110775.0, 363.0, 149.0]","[0.6507789105833596, 0.3165070400075957, 0.8333333333333334, 0.8224661071659135, 0.4166666666666667, 0.38095238095238093]","[32, 15, 41, 41, 20, 19]"
"[40802406.0, 3921295.53, 213.0, 110847.0, 360.0, 147.0]","[0.6516306868158287, 0.4324074773927312, 0.6666666666666666, 0.8457069076823758, 0.2916666666666667, 0.2857142857142857]","[32, 21, 33, 42, 14, 14]"
"[40894750.0, 2851563.63, 210.0, 108513.0, 364.0, 154.0]","[0.6550593265617476, 0.21834739038699444, 0.16666666666666666, 0.09231762427372499, 0.4583333333333333, 0.6190476190476191]","[32, 10, 8, 4, 22, 30]"
"[40929000.0, 2851563.63, 210.0, 108511.0, 364.0, 154.0]","[0.6563309945780531, 0.21834739038699444, 0.16666666666666666, 0.09167204648160103, 0.4583333333333333, 0.6190476190476191]","[32, 10, 8, 4, 22, 30]"
"[41044627.0, 3485957.88, 212.0, 109950.0, 364.0, 152.0]","[0.6606241086721075, 0.34529367323687404, 0.5, 0.5561652679147837, 0.4583333333333333, 0.5238095238095238]","[33, 17, 25, 27, 22, 26]"
"[41148098.0, 2412854.91, 214.0, 110347.0, 368.0, 154.0]","[0.6644658827251048, 0.13055901390371358, 0.8333333333333334, 0.684312459651388, 0.625, 0.6190476190476191]","[33, 6, 41, 34, 31, 30]"
"[41255884.0, 3166695.01, 214.0, 110637.0, 363.0, 149.0]","[0.6684678683836598, 0.2814071632338525, 0.8333333333333334, 0.7779212395093609, 0.4166666666666667, 0.38095238095238093]","[33, 14, 41, 38, 20, 19]"
"[41323964.0, 2648545.72, 214.0, 110608.0, 364.0, 150.0]","[0.6709956102391367, 0.1777222286260684, 0.8333333333333334, 0.7685603615235636, 0.4583333333333333, 0.42857142857142855]","[33, 8, 41, 38, 22, 21]"
"[41391407.0, 3111941.89, 212.0, 110142.0, 366.0, 154.0]","[0.67349970092596, 0.2704507192584644, 0.5, 0.618140735958683, 0.5416666666666666, 0.6190476190476191]","[33, 13, 25, 30, 27, 30]"
"[41396225.0, 2428084.14, 214.0, 110342.0, 368.0, 154.0]","[0.6736785884150858, 0.13360647869262973, 0.8333333333333334, 0.6826985151710782, 0.625, 0.6190476190476191]","[33, 6, 41, 34, 31, 30]"
"[41450051.0, 3024669.18, 213.0, 110265.0, 365.0, 152.0]","[0.6756770936018205, 0.252986900617713, 0.6666666666666666, 0.657843770174306, 0.5, 0.5238095238095238]","[33, 12, 33, 32, 25, 26]"
"[41614096.0, 3991518.58, 213.0, 110847.0, 359.0, 146.0]","[0.6817679192875095, 0.44645955174220914, 0.6666666666666666, 0.8457069076823758, 0.25, 0.23809523809523808]","[34, 22, 33, 42, 12, 11]"
"[41629241.0, 3991518.58, 213.0, 110839.0, 359.0, 146.0]","[0.6823302378891721, 0.44645955174220914, 0.6666666666666666, 0.8431245965138799, 0.25, 0.23809523809523808]","[34, 22, 33, 42, 12, 11]"
"[41634455.0, 3608162.55, 212.0, 109500.0, 365.0, 154.0]","[0.682523828459596, 0.36974759696552734, 0.5, 0.4109102646868948, 0.5, 0.6190476190476191]","[34, 18, 25, 20, 25, 30]"
"[41684669.0, 2710759.39, 214.0, 110608.0, 364.0, 150.0]","[0.6843882237229761, 0.19017157561959658, 0.8333333333333334, 0.7685603615235636, 0.4583333333333333, 0.42857142857142855]","[34, 9, 41, 38, 22, 21]"
"[41724035.0, 3398943.1, 213.0, 110389.0, 363.0, 150.0]","[0.6858498436683742, 0.3278814680127567, 0.6666666666666666, 0.697869593285991, 0.4166666666666667, 0.42857142857142855]","[34, 16, 33, 34, 20, 21]"
"[41800033.0, 3736094.33, 212.0, 109371.0, 364.0, 152.0]","[0.688671572891825, 0.39534755145655337, 0.5, 0.36927049709489995, 0.4583333333333333, 0.5238095238095238]","[34, 19, 25, 18, 22, 26]"
"[41841731.0, 6215084.64, 213.0, 110954.0, 360.0, 146.0]","[0.6902197776493114, 0.8914091173918857, 0.6666666666666666, 0.8802453195610072, 0.2916666666666667, 0.23809523809523808]","[34, 44, 33, 44, 14, 11]"
"[41915047.0, 3630388.69, 211.0, 109112.0, 365.0, 154.0]","[0.6929419269130621, 0.3741951874900332, 0.3333333333333333, 0.2856681730148483, 0.5, 0.6190476190476191]","[34, 18, 16, 14, 25, 30]"
"[42103912.0, 2573914.25, 214.0, 110746.0, 366.0, 151.0]","[0.6999542942093994, 0.16278800168419064, 0.8333333333333334, 0.8131052291801162, 0.5416666666666666, 0.47619047619047616]","[34, 8, 41, 40, 27, 23]"
"[42181279.0, 3247453.18, 214.0, 110613.0, 362.0, 148.0]","[0.7028268530245092, 0.2975673814124673, 0.8333333333333334, 0.7701743060038735, 0.375, 0.3333333333333333]","[35, 14, 41, 38, 18, 16]"
"[42256104.0, 2968909.16, 213.0, 110251.0, 367.0, 154.0]","[0.7056050299389637, 0.24182896961402728, 0.6666666666666666, 0.6533247256294383, 0.5833333333333334, 0.6190476190476191]","[35, 12, 33, 32, 29, 30]"
"[42319095.0, 3589275.56, 212.0, 109903.0, 366.0, 154.0]","[0.7079438223481638, 0.3659681913755132, 0.5, 0.5409941897998709, 0.5416666666666666, 0.6190476190476191]","[35, 18, 25, 27, 27, 30]"
"[42406466.0, 3322754.84, 213.0, 110605.0, 363.0, 150.0]","[0.7111878196110144, 0.3126357175920992, 0.6666666666666666, 0.7675919948353777, 0.4166666666666667, 0.42857142857142855]","[35, 15, 33, 38, 20, 21]"
"[42451477.0, 3156199.1, 213.0, 110418.0, 363.0, 150.0]","[0.7128590327228955, 0.27930686557253726, 0.6666666666666666, 0.7072304712717883, 0.4166666666666667, 0.42857142857142855]","[35, 13, 33, 35, 20, 21]"
"[42497039.0, 6219517.95, 213.0, 110913.0, 359.0, 146.0]","[0.7145507039100172, 0.8922962506299648, 0.6666666666666666, 0.8670109748224661, 0.25, 0.23809523809523808]","[35, 44, 33, 43, 12, 11]"
"[42521708.0, 3655036.35, 212.0, 109928.0, 364.0, 152.0]","[0.7154666390426957, 0.37912733940967575, 0.5, 0.5490639122014203, 0.4583333333333333, 0.5238095238095238]","[35, 18, 25, 27, 22, 26]"
"[42604014.0, 3323378.59, 210.0, 109412.0, 364.0, 154.0]","[0.7185225779551059, 0.31276053389352, 0.16666666666666666, 0.3825048418334409, 0.4583333333333333, 0.6190476190476191]","[35, 15, 8, 19, 22, 30]"
"[42632558.0, 2795183.05, 214.0, 110542.0, 364.0, 150.0]","[0.7195823879363445, 0.20706528142096856, 0.8333333333333334, 0.7472562943834732, 0.4583333333333333, 0.42857142857142855]","[35, 10, 41, 37, 22, 21]"
"[42735958.0, 6259879.34, 213.0, 110843.0, 359.0, 146.0]","[0.7234215258308262, 0.9003728188383846, 0.6666666666666666, 0.8444157520981278, 0.25, 0.23809523809523808]","[36, 45, 33, 42, 12, 11]"
"[42748568.0, 3219321.93, 211.0, 109798.0, 365.0, 154.0]","[0.7238897224347857, 0.2919381412051031, 0.3333333333333333, 0.5071013557133635, 0.5, 0.6190476190476191]","[36, 14, 16, 25, 25, 30]"
"[42751102.0, 6259879.34, 213.0, 110836.0, 359.0, 146.0]","[0.7239838073034958, 0.9003728188383846, 0.6666666666666666, 0.842156229825694, 0.25, 0.23809523809523808]","[36, 45, 33, 42, 12, 11]"
"[42830528.0, 3023475.09, 212.0, 109994.0, 366.0, 153.0]","[0.7269328147155566, 0.25274795569208, 0.5, 0.5703679793415106, 0.5416666666666666, 0.5714285714285714]","[36, 12, 25, 28, 27, 28]"
"[42844280.0, 2451638.29, 214.0, 110745.0, 361.0, 147.0]","[0.727443412629724, 0.1383198123777766, 0.8333333333333334, 0.8127824402840542, 0.3333333333333333, 0.2857142857142857]","[36, 6, 41, 40, 16, 14]"
"[42865568.0, 6264943.54, 213.0, 110833.0, 359.0, 146.0]","[0.7282338146364719, 0.9013861971368295, 0.6666666666666666, 0.841187863137508, 0.25, 0.23809523809523808]","[36, 45, 33, 42, 12, 11]"
"[42918311.0, 2866661.25, 214.0, 111093.0, 365.0, 152.0]","[0.7301921091235961, 0.2213685191864437, 0.8333333333333334, 0.9251129761136216, 0.5, 0.5238095238095238]","[36, 11, 41, 46, 25, 26]"
"[43031749.0, 3595947.72, 212.0, 109762.0, 366.0, 153.0]","[0.7344039478515865, 0.3673033325918462, 0.5, 0.4954809554551323, 0.5416666666666666, 0.5714285714285714]","[36, 18, 25, 24, 27, 28]"
"[43033073.0, 3291053.71, 213.0, 111017.0, 362.0, 149.0]","[0.7344531066385526, 0.3062921219248295, 0.6666666666666666, 0.9005810200129115, 0.375, 0.38095238095238093]","[36, 15, 33, 45, 18, 19]"
"[43088303.0, 4880368.07, 213.0, 110539.0, 360.0, 147.0]","[0.7365037409317076, 0.6243239298769594, 0.6666666666666666, 0.7462879276952873, 0.2916666666666667, 0.2857142857142857]","[36, 31, 33, 37, 14, 14]"
"[43113045.0, 3307994.98, 213.0, 111015.0, 362.0, 149.0]","[0.737422386480888, 0.3096821766948029, 0.6666666666666666, 0.8999354422207876, 0.375, 0.38095238095238093]","[36, 15, 33, 44, 18, 19]"
"[43135209.0, 3085062.14, 213.0, 110299.0, 364.0, 151.0]","[0.7382453134856587, 0.2650719120791212, 0.6666666666666666, 0.6688185926404132, 0.4583333333333333, 0.47619047619047616]","[36, 13, 33, 33, 22, 23]"
"[43141487.0, 3146076.99, 213.0, 110435.0, 362.0, 149.0]","[0.7384784093048227, 0.27728136764424177, 0.6666666666666666, 0.7127178825048418, 0.375, 0.38095238095238093]","[36, 13, 33, 35, 18, 19]"
"[43166244.0, 3320135.96, 213.0, 110972.0, 362.0, 148.0]","[0.7393976117889008, 0.31211166321860845, 0.6666666666666666, 0.8860555196901226, 0.375, 0.3333333333333333]","[36, 15, 33, 44, 18, 16]"
"[43180622.0, 3491253.92, 211.0, 109643.0, 364.0, 153.0]","[0.739931452452797, 0.3463534441787202, 0.3333333333333333, 0.45706907682375725, 0.4583333333333333, 0.5714285714285714]","[36, 17, 16, 22, 22, 28]"
"[43206013.0, 3596888.46, 212.0, 109624.0, 365.0, 153.0]","[0.7408741947185492, 0.36749158058767556, 0.5, 0.45093608779857974, 0.5, 0.5714285714285714]","[37, 18, 25, 22, 25, 28]"
"[43211760.0, 3027012.9, 212.0, 109923.0, 365.0, 153.0]","[0.7410875750423364, 0.2534558937431092, 0.5, 0.5474499677211104, 0.5, 0.5714285714285714]","[37, 12, 25, 27, 25, 28]"
"[43261501.0, 6300275.56, 213.0, 110829.0, 359.0, 146.0]","[0.7429344082919438, 0.9084563567490542, 0.6666666666666666, 0.8398967075532602, 0.25, 0.23809523809523808]","[37, 45, 33, 41, 12, 11]"
"[43275807.0, 3626094.56, 213.0, 110390.0, 363.0, 150.0]","[0.7434655756683312, 0.3733359050460733, 0.6666666666666666, 0.6981923821820529, 0.4166666666666667, 0.42857142857142855]","[37, 18, 33, 34, 20, 21]"
"[43277996.0, 3258207.18, 211.0, 109542.0, 364.0, 153.0]","[0.7435468510343952, 0.29971932450742383, 0.3333333333333333, 0.4244673983214977, 0.4583333333333333, 0.5714285714285714]","[37, 14, 16, 21, 22, 28]"
"[43279840.0, 3137867.44, 211.0, 108749.0, 364.0, 153.0]","[0.7436153168978132, 0.2756385850112493, 0.3333333333333333, 0.1684958037443512, 0.4583333333333333, 0.5714285714285714]","[37, 13, 16, 8, 22, 28]"
"[43306966.0, 2785252.0, 214.0, 110534.0, 365.0, 152.0]","[0.7446224779667272, 0.20507801580136958, 0.8333333333333334, 0.7446739832149774, 0.5, 0.5238095238095238]","[37, 10, 41, 37, 25, 26]"
"[43320479.0, 3601952.66, 212.0, 109622.0, 365.0, 153.0]","[0.7451242020515254, 0.3685049588861207, 0.5, 0.45029051000645576, 0.5, 0.5714285714285714]","[37, 18, 25, 22, 25, 28]"
"[43350197.0, 2871094.56, 214.0, 111067.0, 365.0, 151.0]","[0.7462276014707537, 0.22225565242452272, 0.8333333333333334, 0.9167204648160103, 0.5, 0.47619047619047616]","[37, 11, 41, 45, 25, 23]"
"[43368536.0, 4265385.29, 212.0, 110527.0, 360.0, 148.0]","[0.7469085100766231, 0.5012620043666236, 0.5, 0.7424144609425436, 0.2916666666666667, 0.3333333333333333]","[37, 25, 25, 37, 14, 16]"
"[43380523.0, 3188543.12, 213.0, 110998.0, 362.0, 149.0]","[0.7473535753178334, 0.2857791075757114, 0.6666666666666666, 0.8944480309877341, 0.375, 0.38095238095238093]","[37, 14, 33, 44, 18, 19]"
"[43383561.0, 3150125.48, 214.0, 110584.0, 360.0, 146.0]","[0.7474663731991046, 0.27809149597793154, 0.8333333333333334, 0.7608134280180762, 0.2916666666666667, 0.23809523809523808]","[37, 13, 41, 38, 14, 11]"
"[43459907.0, 2872988.56, 213.0, 111018.0, 365.0, 151.0]","[0.750301023312181, 0.2226346537469932, 0.6666666666666666, 0.9009038089089735, 0.5, 0.47619047619047616]","[37, 11, 33, 45, 25, 23]"
"[43507324.0, 2816083.51, 213.0, 111006.0, 365.0, 151.0]","[0.7520615687816455, 0.21124759503250048, 0.6666666666666666, 0.8970303421562298, 0.5, 0.47619047619047616]","[37, 10, 33, 44, 25, 23]"
"[43532750.0, 3808879.27, 211.0, 109274.0, 364.0, 152.0]","[0.753005610562159, 0.4099122761217777, 0.3333333333333333, 0.33795997417688833, 0.4583333333333333, 0.5238095238095238]","[37, 20, 16, 16, 22, 26]"
"[43540841.0, 3517742.91, 213.0, 110364.0, 363.0, 150.0]","[0.7533060212459525, 0.3516540578222828, 0.6666666666666666, 0.6897998708844416, 0.4166666666666667, 0.42857142857142855]","[37, 17, 33, 34, 20, 21]"
"[43556882.0, 2823570.62, 214.0, 110528.0, 365.0, 152.0]","[0.7539016074255016, 0.21274581287383212, 0.8333333333333334, 0.7427372498386056, 0.5, 0.5238095238095238]","[37, 10, 41, 37, 25, 26]"
"[43558791.0, 6301917.69, 213.0, 110758.0, 359.0, 146.0]","[0.7539724866734762, 0.9087849572990377, 0.6666666666666666, 0.8169786959328599, 0.25, 0.23809523809523808]","[37, 45, 33, 40, 12, 11]"
"[43567522.0, 3808879.27, 211.0, 109268.0, 364.0, 152.0]","[0.7542966599129028, 0.4099122761217777, 0.3333333333333333, 0.3360232408005165, 0.4583333333333333, 0.5238095238095238]","[37, 20, 16, 16, 22, 26]"
"[43598130.0, 3324569.27, 213.0, 110946.0, 362.0, 148.0]","[0.7554331041360585, 0.3129987964566875, 0.6666666666666666, 0.8776630083925113, 0.375, 0.3333333333333333]","[37, 15, 33, 43, 18, 16]"
"[43639331.0, 3808879.27, 211.0, 109265.0, 364.0, 152.0]","[0.756962855783936, 0.4099122761217777, 0.3333333333333333, 0.33505487411233054, 0.4583333333333333, 0.5238095238095238]","[37, 20, 16, 16, 22, 26]"
"[43681824.0, 3069456.11, 213.0, 110182.0, 364.0, 151.0]","[0.758540578090998, 0.2619490472383006, 0.6666666666666666, 0.6310522918011621, 0.4583333333333333, 0.47619047619047616]","[37, 13, 33, 31, 22, 23]"
"[43682746.0, 3948174.14, 213.0, 110930.0, 359.0, 146.0]","[0.758574811022707, 0.43778605645089835, 0.6666666666666666, 0.8724983860555197, 0.25, 0.23809523809523808]","[37, 21, 33, 43, 12, 11]"
"[43687415.0, 3812765.47, 211.0, 109265.0, 364.0, 152.0]","[0.7587481662918495, 0.4106899292048743, 0.3333333333333333, 0.33505487411233054, 0.4583333333333333, 0.5238095238095238]","[37, 20, 16, 16, 22, 26]"
"[43688811.0, 3562948.15, 211.0, 109633.0, 363.0, 152.0]","[0.7587999983663243, 0.3606999109070746, 0.3333333333333333, 0.4538411878631375, 0.4166666666666667, 0.5238095238095238]","[37, 18, 16, 22, 20, 26]"
"[43693815.0, 3360961.56, 214.0, 111325.0, 362.0, 148.0]","[0.758985791848181, 0.32028112277016657, 0.8333333333333334, 1.0, 0.375, 0.3333333333333333]","[37, 16, 41, 50, 18, 16]"
"[43780996.0, 4645479.78, 213.0, 110957.0, 358.0, 146.0]","[0.762222734602328, 0.5773213044583579, 0.6666666666666666, 0.881213686249193, 0.20833333333333334, 0.23809523809523808]","[38, 28, 33, 44, 10, 11]"
"[43831585.0, 3848147.71, 214.0, 111070.0, 360.0, 147.0]","[0.7641010532381495, 0.417770138155227, 0.8333333333333334, 0.9176888315041962, 0.2916666666666667, 0.2857142857142857]","[38, 20, 41, 45, 14, 14]"
"[43846257.0, 3339798.5, 213.0, 110941.0, 362.0, 148.0]","[0.7646458098260396, 0.3160462612456036, 0.6666666666666666, 0.8760490639122014, 0.375, 0.3333333333333333]","[38, 15, 33, 43, 18, 16]"
"[43862089.0, 3179317.35, 213.0, 110233.0, 364.0, 151.0]","[0.7652336360460147, 0.28393297292375336, 0.6666666666666666, 0.6475145255003227, 0.4583333333333333, 0.47619047619047616]","[38, 14, 33, 32, 22, 23]"
"[43878011.0, 2913958.17, 213.0, 110843.0, 364.0, 151.0]","[0.7658248038753758, 0.23083293060607452, 0.6666666666666666, 0.8444157520981278, 0.4583333333333333, 0.47619047619047616]","[38, 11, 33, 42, 22, 23]"
"[43925428.0, 2857053.12, 213.0, 110832.0, 364.0, 151.0]","[0.7675853493448404, 0.21944587189158188, 0.6666666666666666, 0.8408650742414461, 0.4583333333333333, 0.47619047619047616]","[38, 10, 33, 42, 22, 23]"
"[43926937.0, 2495263.82, 214.0, 110702.0, 368.0, 154.0]","[0.7676413769955441, 0.14704955554751037, 0.8333333333333334, 0.7989025177533893, 0.625, 0.6190476190476191]","[38, 7, 41, 39, 31, 30]"
"[43930747.0, 3284052.55, 213.0, 110838.0, 362.0, 148.0]","[0.7677828384595478, 0.3048911457374866, 0.6666666666666666, 0.842801807617818, 0.375, 0.3333333333333333]","[38, 15, 33, 42, 18, 16]"
"[43959611.0, 2850597.74, 214.0, 110714.0, 361.0, 147.0]","[0.768854529718603, 0.21815410971784932, 0.8333333333333334, 0.802775984506133, 0.3333333333333333, 0.2857142857142857]","[38, 10, 41, 40, 16, 14]"
"[44006281.0, 2497559.69, 213.0, 110253.0, 367.0, 153.0]","[0.7705873398301646, 0.14750897358669746, 0.6666666666666666, 0.6539703034215623, 0.5833333333333334, 0.5714285714285714]","[38, 7, 33, 32, 29, 28]"
"[44007047.0, 3160392.42, 211.0, 108740.0, 364.0, 153.0]","[0.770615780638938, 0.28014597530091206, 0.3333333333333333, 0.16559070367979342, 0.4583333333333333, 0.5714285714285714]","[38, 14, 16, 8, 22, 28]"
"[44033698.0, 3612518.04, 211.0, 109542.0, 364.0, 153.0]","[0.7716053054360931, 0.3706191579317401, 0.3333333333333333, 0.4244673983214977, 0.4583333333333333, 0.5714285714285714]","[38, 18, 16, 21, 22, 28]"
"[44039383.0, 3350052.95, 213.0, 110734.0, 361.0, 148.0]","[0.7718163837623031, 0.31809824124096137, 0.6666666666666666, 0.8092317624273725, 0.3333333333333333, 0.3333333333333333]","[38, 15, 33, 40, 16, 16]"
"[44076142.0, 3175458.25, 211.0, 109288.0, 363.0, 152.0]","[0.7731812084224893, 0.28316074272124764, 0.3333333333333333, 0.34247901872175596, 0.4166666666666667, 0.5238095238095238]","[38, 14, 16, 17, 20, 26]"
"[44099301.0, 3078587.53, 213.0, 110424.0, 364.0, 151.0]","[0.7740410787754709, 0.2637763018613383, 0.6666666666666666, 0.7091672046481601, 0.4583333333333333, 0.47619047619047616]","[38, 13, 33, 35, 22, 23]"
"[44109812.0, 2735518.74, 214.0, 110531.0, 364.0, 150.0]","[0.7744313416227524, 0.19512607741131233, 0.8333333333333334, 0.7437056165267915, 0.4583333333333333, 0.42857142857142855]","[38, 9, 41, 37, 22, 21]"
"[44226877.0, 3257377.86, 213.0, 110390.0, 361.0, 148.0]","[0.778777847208995, 0.299553372354968, 0.6666666666666666, 0.6981923821820529, 0.3333333333333333, 0.3333333333333333]","[38, 14, 33, 34, 16, 16]"
"[44242653.0, 3636019.24, 213.0, 110349.0, 363.0, 150.0]","[0.7793635942053523, 0.3753218959885741, 0.6666666666666666, 0.6849580374435119, 0.4166666666666667, 0.42857142857142855]","[38, 18, 33, 34, 20, 21]"
"[44243986.0, 3182948.3, 212.0, 110161.0, 363.0, 151.0]","[0.779413087153257, 0.28465954887508604, 0.5, 0.6242737249838606, 0.4166666666666667, 0.47619047619047616]","[38, 14, 25, 31, 20, 23]"
"[44257670.0, 2677967.89, 214.0, 110498.0, 364.0, 150.0]","[0.7799211602958884, 0.18360979005159714, 0.8333333333333334, 0.7330535829567463, 0.4583333333333333, 0.42857142857142855]","[38, 9, 41, 36, 22, 21]"
"[44285810.0, 2941393.7, 213.0, 110818.0, 363.0, 150.0]","[0.7809659701638837, 0.23632295286197672, 0.6666666666666666, 0.8363460296965785, 0.4166666666666667, 0.42857142857142855]","[39, 11, 33, 41, 20, 21]"
"[44318504.0, 3557000.69, 212.0, 110482.0, 362.0, 150.0]","[0.7821798654668061, 0.3595097867226288, 0.5, 0.7278889606197547, 0.375, 0.42857142857142855]","[39, 17, 25, 36, 18, 21]"
"[44375804.0, 6440653.74, 212.0, 110451.0, 357.0, 144.0]","[0.7843073567758371, 0.9365469142284631, 0.5, 0.7178825048418335, 0.16666666666666666, 0.14285714285714285]","[39, 46, 25, 35, 8, 7]"
"[44389918.0, 4162627.35, 210.0, 109233.0, 363.0, 153.0]","[0.7848313953855345, 0.4806994937254711, 0.16666666666666666, 0.3247256294383473, 0.4166666666666667, 0.5714285714285714]","[39, 24, 8, 16, 20, 28]"
"[44432929.0, 3542728.38, 214.0, 110388.0, 363.0, 149.0]","[0.7864283505110621, 0.3566538076493929, 0.8333333333333334, 0.697546804389929, 0.4166666666666667, 0.38095238095238093]","[39, 17, 41, 34, 20, 19]"
"[44441552.0, 3055476.98, 212.0, 109387.0, 366.0, 154.0]","[0.7867485138192256, 0.2591517353285927, 0.5, 0.37443511943189156, 0.5416666666666666, 0.6190476190476191]","[39, 12, 25, 18, 27, 30]"
